,file_name,mean,std,min,max
450,202208140850.nc,0.4554656,1.7102098,0.0,99.7
451,202307261400.nc,0.2166321,0.96638834,0.0,98.079994
452,202307132110.nc,2.7465327,8.221645,0.0,99.7
453,202106091350.nc,0.49554476,1.3889124,0.0,82.75
454,202306021120.nc,0.22336398,1.3925582,0.0,99.7
455,202208201100.nc,0.47551435,3.7824512,0.0,95.34
456,202206271130.nc,1.1371971,4.2944093,0.0,99.329994
457,202307020000.nc,0.4251359,2.2521493,0.0,98.04
458,202308020420.nc,0.2518515,1.1677884,0.0,99.619995
459,202107010230.nc,0.7732714,3.218454,0.0,99.4
460,202207261630.nc,0.18188646,1.0321716,0.0,99.29
461,202106051950.nc,0.2531459,1.2175014,0.0,99.4
462,202209050510.nc,2.532581,4.977552,0.0,99.799995
463,202107160050.nc,0.64624983,2.062335,0.0,84.299995
